Motif_ID	Sequence_ID	Match_Start	Match_Score	P_Value
Zfx	rs1214015	7	17.11	5.44e-09
EGR2	rs242101	9	17.03	6.52e-09
FOXB1	rs5581270	8	16.74	1.27e-08
KLF11	rs8014713	8	16.72	1.34e-08
ZNF384	rs208009	9	16.50	2.19e-08
ZNF384	rs3442838	9	16.50	2.23e-08
ZNF384	rs7117076	9	16.50	2.23e-08
Stat5a::Stat5b	rs1084010	10	16.47	2.36e-08
Klf1	rs704	10	16.42	2.65e-08
SP3	rs8014713	7	16.40	2.78e-08
ZNF384	rs20217809	9	16.36	3.01e-08
SP9	rs8014713	8	16.34	3.14e-08
STAT1	rs6647770	9	16.30	3.43e-08
MAZ	rs53250	10	16.15	4.86e-08
PAX3	rs1292002	10	16.06	5.90e-08
PAX3	rs1090827	10	16.06	5.90e-08
ZNF75D	rs81675	8	16.00	6.78e-08
NR2F1	rs1781037	7	15.82	1.00e-07
SP8	rs8014713	8	15.78	1.09e-07
FOXN3	rs141283	10	15.67	1.38e-07
ZNF384	rs56505073	9	15.62	1.52e-07
ZNF384	rs56931977	9	15.62	1.52e-07
FOXC1	rs5581270	8	15.59	1.61e-07
PAX7	rs1292002	10	15.51	1.92e-07
PAX7	rs1090827	10	15.51	1.92e-07
NHLH1	rs31959	9	15.45	2.16e-07
ZNF384	rs37189493	9	15.43	2.29e-07
ZNF384	rs20129715	9	15.43	2.29e-07
ZNF384	rs3577383	9	15.43	2.29e-07
ZNF384	rs56805202	9	15.43	2.29e-07
ZNF384	rs3555998	9	15.43	2.29e-07
ZNF384	rs11303689	9	15.43	2.29e-07
ZNF384	rs3512621	9	15.43	2.29e-07
ZNF384	rs20137565	9	15.43	2.29e-07
ZNF384	rs78210097	9	15.43	2.29e-07
TFAP2B(var.3)	rs1105815	8	15.42	2.31e-07
SOX14	rs694468	9	15.37	2.55e-07
TBX15	rs1093910	7	15.36	2.62e-07
TBX15	rs5949062	9	15.36	2.62e-07
KLF10	rs6263709	10	15.28	3.11e-07
ZNF135	rs13899700	7	15.23	3.45e-07
TBX1	rs1093910	7	15.12	4.28e-07
TBX1	rs5949062	9	15.12	4.28e-07
NEUROG2	rs1715140	7	15.11	4.40e-07
MYF6	rs390681	8	15.10	4.48e-07
ARGFX	rs3523367	9	15.07	4.80e-07
ZNF384	rs146514659	9	15.05	4.97e-07
Stat5a	rs6647770	9	15.00	5.48e-07
TFAP2C(var.3)	rs1105815	8	15.00	5.55e-07
NEUROG1	rs1715140	7	14.99	5.59e-07
Stat5a::Stat5b	rs6647770	8	14.99	5.60e-07
KLF16	rs8014713	8	14.90	6.68e-07
MAZ	rs7771949	10	14.87	7.20e-07
POU2F1	rs1222965	9	14.86	7.32e-07
FOXC2	rs11520271	8	14.86	7.37e-07
POU4F1	rs382824	7	14.84	7.56e-07
FOXO3	rs141283	10	14.84	7.58e-07
SNAI3	rs7457740	10	14.83	7.79e-07
Stat5a::Stat5b	rs151672	10	14.82	7.99e-07
Klf1	rs5981124	7	14.78	8.59e-07
LMX1B	rs655692	10	14.77	8.77e-07
TFAP2A(var.3)	rs1105815	8	14.75	9.12e-07
FOXC2	rs704684	8	14.75	9.14e-07
ZNF135	rs217722	7	14.75	9.17e-07
POU6F2	rs3523367	10	14.74	9.25e-07
ZNF263	rs11509268	7	14.69	1.03e-06
Foxd3	rs799167	8	14.65	1.11e-06
ZNF384	rs6715629	9	14.60	1.23e-06
ZNF384	rs147565	7	14.59	1.25e-06
NR2F2	rs1781037	7	14.52	1.42e-06
LMX1B	rs1292002	10	14.49	1.51e-06
LMX1B	rs1090827	10	14.49	1.51e-06
ZNF384	rs14892811	9	14.47	1.57e-06
ZNF384	rs1139017	9	14.47	1.57e-06
KLF6	rs8014713	7	14.42	1.74e-06
POU6F1	rs1292002	8	14.39	1.83e-06
FOXB1	rs713052	10	14.39	1.85e-06
Stat2	rs939457	7	14.38	1.88e-06
mix-a	rs1075039	9	14.35	2.01e-06
Zic1::Zic2	rs131761	9	14.33	2.08e-06
FOXG1	rs141283	10	14.27	2.32e-06
Tcf12	rs1111736	7	14.26	2.36e-06
mix-a	rs1292002	7	14.25	2.42e-06
ZNF384	rs586350	9	14.24	2.45e-06
NHLH1	rs125011	8	14.24	2.46e-06
KLF6	rs704	10	14.24	2.47e-06
DUX4	rs446341	10	14.23	2.51e-06
MGA	rs1093910	7	14.22	2.57e-06
MGA	rs5949062	9	14.22	2.57e-06
Ascl2	rs1111736	7	14.18	2.76e-06
SNAI1	rs7457740	10	14.15	2.90e-06
ZNF384	rs20159727	9	14.15	2.92e-06
FOXP2	rs147378	8	14.13	3.02e-06
KLF16	rs6263709	10	14.11	3.15e-06
FOXC2	rs5581270	8	14.10	3.22e-06
NFIC	rs6790451	7	14.09	3.28e-06
SIX1	rs376832	10	14.05	3.54e-06
PRDM4	rs672310	9	13.99	3.94e-06
Atoh1	rs1715140	7	13.96	4.20e-06
Nr2e1	rs3432622	8	13.93	4.40e-06
Stat5a::Stat5b	rs694441	9	13.93	4.40e-06
DBP	rs1020140	9	13.93	4.45e-06
LMX1A	rs1292002	9	13.88	4.84e-06
LMX1A	rs1090827	7	13.88	4.84e-06
TEF	rs1020140	9	13.87	4.98e-06
Sox3	rs199076	9	13.86	5.02e-06
GATA1	rs1165589	10	13.83	5.35e-06
KLF2	rs8014713	7	13.81	5.47e-06
Foxj2	rs141283	10	13.80	5.67e-06
Nr2e1	rs1075728	9	13.77	5.91e-06
FOXC1	rs704684	8	13.76	6.00e-06
TFE3	rs1273577	10	13.76	6.01e-06
LMX1A	rs1145428	10	13.74	6.22e-06
LMX1A	rs655692	7	13.74	6.22e-06
RUNX2	rs13972217	7	13.73	6.40e-06
KLF15	rs14424580	9	13.72	6.48e-06
TBX4	rs1093910	7	13.71	6.68e-06
TBX4	rs5949062	9	13.71	6.68e-06
SOX15	rs707855	10	13.69	6.86e-06
